post_id,comment_id,user_id,date,text
119268,119278,-142504296,1760516820,хуже стендапа может быть только женский стендап
119268,119279,-208186783,1760516827,хуже стендапа может быть только женский стендап
119268,119286,146790052,1760633136,"Если съешь ты Папу Джонса, то не будет у тебя большого попенса😊"
119268,119287,146790052,1760633781,"Пицца Папа Джонс приезжает быстрее, чем скорая помощь🫡"
119268,119288,146790052,1760634035,"Если бы я была Богом, 3/4 вас были бы женщинами, а все остальные - пиццей Папа Джонс 😘"
119268,119289,146790052,1760634172,"Пицца Папа Джонс - это универсальный ответ на все вопросы: от ""что есть""? до ""как жить""?"
119268,119290,146790052,1760637728,"Тут пришёл к Наташке кот и сказал дай бутерброд, та дала кусочек пиццы и теперь Папа Джонс ему снится😜"
119268,119291,139554139,1760638280,"А смысл у Вас заказывать? Доставка долгая очень, пицца холодная🤷🏻‍♀"
119268,119297,438619,1760782556,
119268,119298,93629598,1760792123,Какие на сегодня есть промокоды ?
119268,119301,338778785,1760878038,"Папа Джонс, это вам не мама, Хуанита, с папой будешь сыт всегда, причём, по самое  горло) даже на курсы, можно не ходить.... По приготовлению пиццы.."
119268,119302,338778785,1760879021,"Папа Джонс может все приготовить и пиццу, и пападиас и кальзоне даже, а мой нихрена, все детство прошло мимо меня, у меня был хлеб с маслом и сахаром, вот это я понимаю  и пицца и пападиас и кальзоне в одном блюде."
119268,119310,22490733,1760888441,"Дети любят Папу Джонса, лучше чем родного, все что хочешь он сготовит из теста дрожжевого 🥰

Косо смотрит папа Витя на детей, и на жену, кто такой ваш Папа Джонс, я не пойду к нему….

Только голод он не тетка, ужинать пора, ну раз кормит Папа Джонс, то идти пора..

Дети сыты, дети 
муж накормлен, понял что к чему,
Он не будет к Папе Джонсу ревновать жену…"
119268,119332,5575500,1761113843,"Почему в Женском Стендапе нет шуток ""за триста""?
Потому что на Патриках нет трактористов!🚜

Почему Женский Стендап показывают в полночь? 
Потому что днем подзаряжают ступы!🧹

Почему Женский Стендап смотрят мужчины? 
Приятно видеть, что не только у тебя долбонашка!🐥

Почему в Женском Стендапе с юмором не перебарщивают? 
Потому что не умеют готовить борщ!🍵

Папа Джонс накормил пиццей Женский Стендап 
и теперь они рофлят перчиком Пепперончини!🌶"
119268,119356,1034364052,1761568526,
119268,119387,145633530,1761979354,Каким образом можно получить промокод ко дню рождения?
119268,119400,20509477,1762006034,
119268,119402,30174976,1762011367,Папа Джонс очень любил маму Маргариту ❤️
119268,119403,574366698,1762018929,"Самые  офигенные шутки не у женского стендапа,а у Папули Джонс.Доедет ли пицца вообще до тебя,доедет ли теплой?доедет ли та пицца что ты заказал или какая-то рандомная?возьмут ли трубку в пиццерии для решения вопроса.ответят ли на вотсап,или в чате во ВК.один ответ и он на поверхности.плавает."
119268,119410,5575500,1762092585,Папа Джонс вступил в коллаборацию с Женский Стендап и на свет появились симпатичные Женский Джонс и Папа Стендап!💃🕺
119268,119427,626305248,1762335035,"А что если бы в ""Женском стендапе"" был выпуск, полностью посвящённый пицце? 🍕 

Я сделала такой ролик и написала шутки про пиццу, которые могли бы рассказать участницы проекта 👇

Приглашаю к просмотру ❤"
119268,119437,375022327,1762413319,"Недавно зашла в Папа Джонс.
Звучит, как будто не пиццерия, а моя бабуля: тёплая, щедрая на соусы, но всё время заставляет переедать.

Там такая атмосфера — будто папа действительно есть, просто ушёл за сыром… и вернулся с четырьмя!

Я заказала «четыре сыра» — потому что один не справится с моими проблемами.
Моцарелла — тянется, как мои дедлайны.
Пармезан — твёрдый, как характер после трёх отношений.
А горгонзола — как бывший: вроде с плесенью, но всё равно вспоминаешь.

И знаете, Папа Джонс — это место, где не важно, с кем ты пришла.
Главное — чтобы корочка была хрустящей, а совесть — нет. 🍕💋"
119239,119309,155833436,1760883488,"Уважаемые не уважаемые  куда вам писать по поводу заказов которые вы не доставляете и не возвращаете деньги ? Хээлоу додики так сказать , как дела у вас там в конторе ? Найс почта работает, найс поддержка отвечает пишу сюда и в телегу копирую вы там проспаться не можете, бухаете?"
119185,119187,6673447,1760101943,Д5
119185,119188,712817,1760101966,Ж9
119185,119190,46944794,1760102010,И9
119185,119192,669427218,1760102419,И8
119185,119193,215833146,1760102509,А5
119185,119194,8308874,1760112187,Ж8
119185,119195,6580146,1760112296,Е3
119185,119196,273752218,1760112405,В9
119185,119197,468638019,1760112437,з6
119185,119198,12151743,1760112479,Б2
119185,119199,192179076,1760112514,В5
119185,119200,107440447,1760112635,Д2
119185,119201,63070971,1760112796,Ж7
119185,119202,2400364,1760112842,Г8
119185,119203,3647190,1760113535,Е7
119185,119204,96220701,1760113597,Д7
119185,119205,30447110,1760113659,9з
119185,119206,427670446,1760113981,Д10
119185,119207,114154577,1760114007,и3
119185,119208,421222955,1760114396,Е8
119185,119209,141443397,1760114635,Ж5
119185,119210,349971448,1760114919,7е
119185,119212,8427399,1760115387,А5
119185,119213,541808405,1760116392,И10
119185,119214,124230425,1760117033,З3
119185,119215,16762317,1760117805,A7
119185,119216,236782370,1760118328,Д3
119185,119218,140786176,1760120292,Е4
119185,119219,461916997,1760120667,И5
119185,119220,397574578,1760122754,И3
119185,119221,343606974,1760122982,А1
119185,119223,19835275,1760126564,Личные сообщения больше не читаете?
119185,119224,288228685,1760128755,B6
119185,119225,853639709,1760128863,А10
119185,119226,36281953,1760133037,Е7
119185,119227,364153596,1760140771,Д8
119185,119228,335032756,1760143277,А2
119185,119229,296926286,1760149745,Ж3
119185,119230,280005674,1760157024,Е10
119185,119231,216810081,1760159448,А8
119185,119232,283767,1760160610,Г9
119185,119233,360042534,1760161095,И10
119185,119234,5932792,1760163030,7з
119185,119236,9619489,1760168310,Д1
119185,119237,4787757,1760169311,А5
119185,119238,265906257,1760170108,А3
119185,119241,163389617,1760173852,з9
119185,119242,15291550,1760175143,В 3
119185,119243,15291550,1760175170,Д 6
119185,119244,22830911,1760177625,Е6
119185,119245,179466597,1760180124,Е5
119185,119246,179466597,1760180324,З2
119185,119247,153170352,1760181166,Г6
119185,119248,1397673,1760183232,Д4
119185,119249,95362500,1760185687,Г2
119185,119250,12960926,1760186157,б4
119185,119251,5285149,1760191370,И8
119185,119252,4450120,1760194450,К1
119185,119253,2190940,1760203580,В8
119185,119254,145059187,1760257426,Д9
119185,119255,632194165,1760257684,Б3
119185,119256,632196394,1760257919,В7
119185,119257,8605206,1760265679,Б6
119185,119259,509067102,1760273229,Б8
119185,119260,32622120,1760279569,Д8
119185,119261,441551946,1760294375,К4
119185,119263,140202342,1760341248,Д1
119185,119264,1106200,1760343138,K10
119185,119267,255641542,1760352992,И7
119185,119292,30123664,1760656815,А3
119183,119184,299412931,1760030156,7
119183,119235,62589612,1760166492,2
119183,119313,490545044,1760924036,3
