post_id,likes,text_preview,date,link
119071,42,"ИТОГИ РОЗЫГРЫША С HYPERPC    Конкурс с мощными призами подошел к концу, и мы готовы назвать победителей!    Спасибо всем, кто участвовал — вы крутые! ",2025-09-01 17:21:54,https://vk.com/wall-10095732_119071
117029,42,,2025-01-08 14:02:14,https://vk.com/wall-10095732_117029
103751,42,"✌ Сегодня не только День защиты детей, но и Международный день родителей! Поэтому проводим конкурс для подписчиков нашего сообщества.  💥 Вспомни самые",2021-06-01 12:25:58,https://vk.com/wall-10095732_103751
110008,41,"Заказывай пиццу с промокодом МОЛОДОСТЬ, выиграй уникальный мерчот «Папа Джонс» и бренда уличной одежды «Молодость»❤ 🔥",2022-08-08 14:26:26,https://vk.com/wall-10095732_110008
119185,41,"Играем в морской бой!    Только на кону не флот противника, а наши Папа Бонусы 🍕    Спрятали всего один, но самый вкусный однопалубный корабль 🚤    Пи",2025-10-10 13:07:00,https://vk.com/wall-10095732_119185
102659,40,Аппетитное трио снова врывается в твой вторник! ⠀ 🍕 Сегодня с 11:00 до 18:00 при заказе в ресторанах Папа Джонс цена на пиццы диаметром 23 см из списк,2021-04-20 07:21:48,https://vk.com/wall-10095732_102659
107909,40,Твоя внимательность и быстрота реакции = выигрыш в нашей акции 😊  🔻 В этом видео спрятано секретное слово.   🔻 Найди его и напиши в комментариях.  Мы ,2022-01-19 08:42:35,https://vk.com/wall-10095732_107909
102367,40,"У нас конкурс: ты просто считаешь треугольники на картинке, а мы разыгрываем 3 пиццы среди тех, кто ответит правильно.   Условия простые: 🍕 Напиши в к",2021-04-08 09:24:06,https://vk.com/wall-10095732_102367
114933,39,Ты готов к самому крутому приключению? 🤩  Перчинка катается на самокате Whoosh по городу в поисках пиццы «Папа Джонс» - это будет незабываемо!  Чем бо,2024-07-06 08:09:54,https://vk.com/wall-10095732_114933
111428,39,"Мы же говорили, что скоро вернемся с новыми победителями! 🥳 4 победителя крутых призов нашей промоакции ""Беспринципные в деревне"" 🐄 Ноутбук MSI —-> 79",2023-03-15 14:33:39,https://vk.com/wall-10095732_111428
111633,39,"Мы любим путешествия и не простые, а именно те, что дарим Вам!  😜  Итоги розыгрыша акции ""ПИЦЦАКОНЬ"" 🐎  Победитель получает сертификат на поездку в ко",2023-05-24 12:28:27,https://vk.com/wall-10095732_111633
117626,38,,2025-02-18 13:18:49,https://vk.com/wall-10095732_117626
114849,38,"Поздравляем победителей🎉, принявших участие в Акции «10 ЖИЗНЕЙ»☝ Розыгрыш призов проходил среди участников, сделавших заказ в период с 3 по 16 июня 20",2024-06-19 09:23:28,https://vk.com/wall-10095732_114849
118949,38,"Продлили бесплатную доставку до 10 августа!    Делай заказ от 770 ₽ с 11:00 до 23:00, а мы привезем все вкусное быстро, горячо и бесплатно 🚗🔥    Предл",2025-07-31 16:04:24,https://vk.com/wall-10095732_118949
110259,38,Хочешь выиграть кухонную технику от KITFORT? 🍕   Тогда участвуй в акции от Папа Джонс и  KITFORT - сделай заказ по промокоду KITFORTна сумму от 1499р.,2022-09-27 07:50:28,https://vk.com/wall-10095732_110259
101081,37,Батя может всё что угодно! Убедись в этом — приходи на премьеру самой родной комедии 23 февраля.  🍕 А ещё забирай специальную пиццу Батя Джонс по пром,2021-02-18 11:10:35,https://vk.com/wall-10095732_101081
114954,37,"Когда ты обычно ешь ананас? 🙃 Летом, когда жарко, или под Новый год, когда все украшают ёлки?  А мы - круглый год, потому что очень любим гавайскую пи",2024-07-12 10:19:18,https://vk.com/wall-10095732_114954
100539,37,"Перечисли в комментариях ингредиенты пиццы Суперчизбургер так, чтобы тебя никто не перебил 😵  🍕 После 30+ комментариев оставим промокод под постом!  #",2021-02-01 07:53:20,https://vk.com/wall-10095732_100539
110449,37,"Пицца - очень необычный предмет. Вот она привычная, а вот - уже нет.  Внимание, внимание! Ограниченный запуск самых любимых пицц Пепперони и Цыпленок ",2022-10-28 17:12:43,https://vk.com/wall-10095732_110449
98993,37,- Что? Да не может быть! - Может! ⠀ Сегодня и только до 18:00 — пицца диаметром 23 см за 149 рублей на выбор: ⠀ 🍕 Ветчина и грибы 🍕 Маргарита 🍕 Пеппер,2021-01-12 07:22:18,https://vk.com/wall-10095732_98993
108946,37,Встречай эксклюзивную новинку ❗ Папа Джонс запускает ограниченную серию суперфуда — хлебные палочки с семенами конопли.  🔻 Изготавливаются вручную из ,2022-02-10 08:30:19,https://vk.com/wall-10095732_108946
110976,36,"Новый год в ""Папа Джонс"" начинается с подарков и поздравлений!  Поздравляем с прошедшими праздниками 🎅 И желает всем, что бы еда в новом году была еще",2023-01-12 17:24:45,https://vk.com/wall-10095732_110976
115173,36,"Поздравляем победителей🎉, принявших участие в акции, посвященной фильму «Бордерлендс»🍕🎬 Розыгрыш призов проходил среди участников, сделавших заказ в п",2024-08-14 14:19:13,https://vk.com/wall-10095732_115173
99161,35,"Говорят, что понедельник — день тяжёлый. Но мы-то знаем, что это не так, ведь завтра кибервторник в Папа Джонс! ⠀ ♦ Жди нашу публикацию в ленте 19 янв",2021-01-18 11:13:50,https://vk.com/wall-10095732_99161
119078,35,,2025-09-03 08:36:08,https://vk.com/wall-10095732_119078
7852,34,[https://m.vk.com/papajohnsru|Папа Джонс] и [https://m.vk.com/sin_official|СИН] что-то задумали... На подходе конкурс с крутыми призами. Следи за обно,2025-07-22 15:00:00,https://vk.com/wall-10095732_7852
117007,34,,2025-01-02 10:03:48,https://vk.com/wall-10095732_117007
119315,34,Остались считанные дни до Хэллоуина. А мы уже готовы запустить страшно вкусный конкурс 🕷    🔮 Условия ужасно простые:  Отправь в комментарии ВКонтакте,2025-10-20 13:24:48,https://vk.com/wall-10095732_119315
109757,34,Хочешь выиграть умную технику от REDMOND? 🍕   Тогда участвуй в акции от Папа Джонс и REDMOND - сделай заказ с промокодом REDMOND на сумму от 1499р. и ,2022-06-01 11:24:04,https://vk.com/wall-10095732_109757
109989,34,"🔥 🔥 🔥 Встречай лимитированную коллекцию, которую команда ""Папа Джонс"" разработала совместно с брендом уличной моды ""Молодость"" [club35464396|@molodost",2022-08-01 11:07:33,https://vk.com/wall-10095732_109989
98853,34,"Раз, два, триииииииии! Только сегодня до 18:00 у тебя есть возможность выбрать пиццу диаметром 23 см за 149 рублей из списка: ⠀ 🍕 Ветчина и грибы 🍕 Ма",2021-01-05 08:33:55,https://vk.com/wall-10095732_98853
113273,34,"Ура-ура-ура!   Пиццериям «Папа Джонс» исполнилось уже 20 лет!   Мы решили устроить розыгрыш 1000 призов! Мы говорим о новеньких Iphone 15, APPLE WATCH",2023-12-20 21:40:49,https://vk.com/wall-10095732_113273
117813,33,,2025-04-05 06:05:38,https://vk.com/wall-10095732_117813
101361,33,🚩 Если нравится первый кусочек — ждём лайк! 🚩 Если второй — оставь любой комментарий! 🚩 Если третий — отправь этот пост лучшему другу!,2021-02-27 11:29:16,https://vk.com/wall-10095732_101361
114949,32,"Пока нейросети строят дома из пиццы, мы можем устроить собственную пицца-атмосферу у тебя дома. 😊  Просто закажи пару коробок пиццы Папа Джонс, и аром",2024-07-10 09:57:16,https://vk.com/wall-10095732_114949
107783,32,— Я умею шевелить ушами. — Ерунда. Я дипломированный мемолог. — А я съедаю 10 кусочков пиццы за 1 присест!  Объявляем конкурс! Условие всего одно:  🍕 ,2022-01-17 08:49:59,https://vk.com/wall-10095732_107783
119107,32,"Сегодня День Рождения у великого Александра Овечкина 🎉  Команда Папа Джонс желает легенде не терять вкус к новым победам, чистого льда и сумасшедших р",2025-09-17 11:00:41,https://vk.com/wall-10095732_119107
117117,32,,2025-01-17 13:40:59,https://vk.com/wall-10095732_117117
105205,32,"😏 Что лучше взять с собой — пиццу Папа Джонс на прогулку или планшет Huawei MatePad 11 на учёбу?    ➡ Предлагаем не выбирать, а сделать заказ от 899 р",2021-08-30 13:57:45,https://vk.com/wall-10095732_105205
109661,32,"Целый месяц Папа Джонс дарил гарантированные подарки всем участникам викторины ""Кто хочет стать Пиццеонером?""🔥  Настал долгожданный момент объявить Пи",2022-05-15 07:45:29,https://vk.com/wall-10095732_109661
113094,32,"Реклама: ООО «НМГ Кинопрокат», ИНН 9704180557, Erid: 2SDnjccwVRa  Мы узнали наверняка, хоккей вы любите так же как и мы! Огромное спасибо всем тем, кт",2023-12-06 08:44:00,https://vk.com/wall-10095732_113094
