name,url
"il borgo vavilova 81",https://eda.yandex.ru/restaurant/il_borgo_vavilova_81
"xinkali burgery l2zjx",https://eda.yandex.ru/restaurant/xinkali_burgery_l2zjx
"shashlychnyj dvorik zrf4g",https://eda.yandex.ru/restaurant/shashlychnyj_dvorik_zrf4g
"myata platinum olimp michurinskij prospekt olimpijskaya derevnya vl19s1",https://eda.yandex.ru/restaurant/myata_platinum_olimp_michurinskij_prospekt_olimpijskaya_derevnya_vl19s1
"oazis hujoc",https://eda.yandex.ru/restaurant/oazis_hujoc
"onlikaef",https://eda.yandex.ru/restaurant/onlikaef
"casa bella govorova 161",https://eda.yandex.ru/restaurant/casa_bella_govorova_161
"sup tom yam fv7dh",https://eda.yandex.ru/restaurant/sup_tom_yam_fv7dh
"tornano prospekt vernadskogo 92 fzmwh",https://eda.yandex.ru/restaurant/tornano_prospekt_vernadskogo_92_fzmwh
"picca viktoriya",https://eda.yandex.ru/restaurant/picca_viktoriya
"pekarnya  15 flotskaya 13k3s1 kyzms",https://eda.yandex.ru/restaurant/pekarnya__15_flotskaya_13k3s1_kyzms
"osetinskie pirogi ot lyudmily 5gc8m",https://eda.yandex.ru/restaurant/osetinskie_pirogi_ot_lyudmily_5gc8m
"Berikoni",https://eda.yandex.ru/restaurant/Berikoni
"Prosushi",https://eda.yandex.ru/restaurant/Prosushi
"Largo Italianskaya",https://eda.yandex.ru/restaurant/Largo_Italianskaya
"myasoryba kaluzhskoe shosse 21j kilometr s1 acoqt",https://eda.yandex.ru/restaurant/myasoryba_kaluzhskoe_shosse_21j_kilometr_s1_acoqt
"pekarnya doner bistro iyhob",https://eda.yandex.ru/restaurant/pekarnya_doner_bistro_iyhob
"olive novoyasenevskij prospekt 1",https://eda.yandex.ru/restaurant/olive_novoyasenevskij_prospekt_1
"tunec sushibar  uhtfo",https://eda.yandex.ru/restaurant/tunec_sushibar__uhtfo
"zamzam hqj29",https://eda.yandex.ru/restaurant/zamzam_hqj29
"vse svoi",https://eda.yandex.ru/restaurant/vse_svoi
"vinoedap",https://eda.yandex.ru/restaurant/vinoedap
"mon kitchen",https://eda.yandex.ru/restaurant/mon_kitchen
"chajxana lhgsx",https://eda.yandex.ru/restaurant/chajxana_lhgsx
"desyonov prh43",https://eda.yandex.ru/restaurant/desyonov_prh43
"sushi  sake",https://eda.yandex.ru/restaurant/sushi__sake
"satrapezo michurinskij prospekt olimpijskaya derevnya 3",https://eda.yandex.ru/restaurant/satrapezo_michurinskij_prospekt_olimpijskaya_derevnya_3
"vkusnye osetinskie pirogi alewv",https://eda.yandex.ru/restaurant/vkusnye_osetinskie_pirogi_alewv
"peri zhumx",https://eda.yandex.ru/restaurant/peri_zhumx
"kafebar nebesa profsoyuznaya 126k2",https://eda.yandex.ru/restaurant/kafebar_nebesa_profsoyuznaya_126k2
"pirogi podigorski hqinv",https://eda.yandex.ru/restaurant/pirogi_podigorski_hqinv
"xinkaliko ",https://eda.yandex.ru/restaurant/xinkaliko_
"shef kspress",https://eda.yandex.ru/restaurant/shef_kspress
"pekarnya pirogovaya lavka",https://eda.yandex.ru/restaurant/pekarnya_pirogovaya_lavka
"chito gvrito untkp",https://eda.yandex.ru/restaurant/chito_gvrito_untkp
"eshtoril",https://eda.yandex.ru/restaurant/eshtoril
"pizzarion nw",https://eda.yandex.ru/restaurant/pizzarion_nw
"the plyushka fhs8q",https://eda.yandex.ru/restaurant/the_plyushka_fhs8q
"buffalo rqhpg artekovskaya 1a",https://eda.yandex.ru/restaurant/buffalo_rqhpg_artekovskaya_1a
"crazy brothers gsnzt",https://eda.yandex.ru/restaurant/crazy_brothers_gsnzt
"uyutnyy dvorik",https://eda.yandex.ru/restaurant/uyutnyy_dvorik
"polnayachasha",https://eda.yandex.ru/restaurant/polnayachasha
"konditerskaya ctzms",https://eda.yandex.ru/restaurant/konditerskaya_ctzms
"hotbery olhov",https://eda.yandex.ru/restaurant/hotbery_olhov
"skandinavskie myasnye i rybnye torty",https://eda.yandex.ru/restaurant/skandinavskie_myasnye_i_rybnye_torty
"the shaurma h74g5",https://eda.yandex.ru/restaurant/the_shaurma_h74g5
"osetinskie pirogi ot zabavy tbiec",https://eda.yandex.ru/restaurant/osetinskie_pirogi_ot_zabavy_tbiec
"vypechka ot eliny",https://eda.yandex.ru/restaurant/vypechka_ot_eliny
"family catering 3l4x5",https://eda.yandex.ru/restaurant/family_catering_3l4x5
"pekarnya pirogov gvrhz",https://eda.yandex.ru/restaurant/pekarnya_pirogov_gvrhz
"Chaihona for you",https://eda.yandex.ru/restaurant/Chaihona_for_you
"misti ark",https://eda.yandex.ru/restaurant/misti_ark
"bakery7a",https://eda.yandex.ru/restaurant/bakery7a
"xmel i bpxem chertanovskaya 48a",https://eda.yandex.ru/restaurant/xmel_i_bpxem_chertanovskaya_48a
"kovboj",https://eda.yandex.ru/restaurant/kovboj
"sherif",https://eda.yandex.ru/restaurant/sherif
"terrasa ndfao",https://eda.yandex.ru/restaurant/terrasa_ndfao
"kishpie wftsy",https://eda.yandex.ru/restaurant/kishpie_wftsy
"schastlivaya konditerskaya tq7gl",https://eda.yandex.ru/restaurant/schastlivaya_konditerskaya_tq7gl
"grin palas grina 15",https://eda.yandex.ru/restaurant/grin_palas_grina_15
